#,#serialid,name,info (description),Icon ID,Admission map ID,Pull-down display order
60100307,Halcia Fragment,White debris that gives off a mysterious glow. \ n It has the power to suppress magical power.,60100200,,,
60100308,Mira's Jewel,A jewel given to his sons by Diment VI. \ n A god of death called Macabre was sealed.,60100144,,,
60100309,Luce's Engagement Ring,Engagement ring that Bersch gave to Ruche.,30100104,,,
60100310,Harusia Fragment Part 2,A fragment of Harcia that Valgo cherished. \ n Its brilliance is as beautiful as a maiden ...,60100200,,,
60100311,Dream sword,A large sword that is said to have appeared when 10 wedges were gathered. \ n It has the power to cut through dimensions.,60100201,,,
60100312,White orb,A white orb that gives off a mysterious glow. \ n There may be something good to have.,60100103,,,
60100313,Yellow mark,A seal that shows one of the gods that Innoverch was dedicated to.,60100107,,,
60100318,Balfret's letter,A letter from Balfret. \ n To Bersch.,60100102,,,
60100319,Luxury Balboa currency,\ N Luxury coins that are only distributed within the Balboa family. The money itself is not worth it.,50400301,,,
60100320,Social space Madalia's business card,A business card received from the Royal Lady Madalia. \ n Proof of adult social gathering regulars.,60100174,,,
60100321,Eleche's Token Ring,An item that allows the wearers to chat with each other by equipping them. \ n I borrowed it from Ereche for contact.,70000201,,,
60100334,Dirty quill,It's an old quill that is about to break.,60100120,,,
60100335,Tinkerbell,"It's a toy bell. \ n When you shake it, a slightly out-of-pitch sound \ n sounds and is noisy.",60100134,,,
60100339,Blood pack [1],A \ n pack containing a specified amount of blood.,60100112,,,
60100340,Blood pack [2],A \ n pack containing a specified amount of blood.,60100112,,,
60100341,Blood pack [3],A \ n pack containing a specified amount of blood.,60100112,,,
60100342,serum,A liquid made by separating blood.,60100147,,,
60100357,Dream Jewel,Proof of overcoming the trials of fantasy \ n A jewel that gives off a fantastic glow.,60100184,,,
60100164,Wedge coat of arms [Twin fish],A coat of arms that imitates the incarnation of a wedge that was driven into the god dragon Lin Ryan.,60100113,,,
60100165,Wedge coat of arms [corner],A coat of arms that imitates the incarnation of the two wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100166,Wedge coat of arms [water bottle],A coat of arms that imitates the incarnation of the three wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100167,Wedge coat of arms [magic brush],A coat of arms that imitates the incarnation of the four wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100168,Wedge Crest [Phantom Book],A coat of arms that imitates the incarnation of the five wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100169,Wedge Crest [Magic Mirror],A coat of arms that imitates the incarnation of the six wedges that was driven into the god dragon Lin Ryan.,60100113,,,
60100170,Wedge coat of arms [Mask],"A coat of arms that imitates the incarnation of the Seven Wedges, which was driven into the Shinryu Lin Ryan.",60100113,,,
60100171,Wedge coat of arms [crown],A coat of arms that imitates the incarnation of the eight wedges that was driven into the god dragon Lin Ryan.,60100113,,,
60100172,Wedge coat of arms [cloak],A coat of arms that imitates the incarnation of the nine wedges that was driven into the god dragon Lin Ryan.,60100113,,,
60100136,Crystal ball of eating,A crystal ball that controls appetite. \ n It glows wet with the digestive juices of carnivorous plants. \ n It doesn't melt as expected.,60100103,,,
60100140,Greedy crystal ball,A crystal ball that controls desire. \ n Michael polished it shiny. \ n It's shining mesmerizingly.,60100103,,,
61100018,Shinshi jewel,"A combination of the jewels of a light angel, a god dragon, and a dark angel. \ n Gives off a divine glow.",60100103,,,
61100019,Shinshi coat of arms,A coat of arms that is a proof of the priest of Avrule.,60100113,,,
60100203,Jewel of the soul,A jewel that shows a mysterious glow. \ nIt has a mysterious characteristic that it changes the appearance of its brilliance depending on the person who owns it.,60100143,,,
60100198,Underworld bills,"A bill given by Tentuto. \ nIt seems that you will be able to put it in the area where the ""Revival Staff"" is stored.",60100114,,,
64000001,Decaying crow key,The black key sought by the decaying crow lord.,60100164,,,
64000002,Fly King's Key,The blue key sought by the Lord of the Fly King.,60100165,,,
64000003,Akatsuki's key,The red key sought by the Akatsuki Lord.,60100166,,,
64000004,The key to the greed,The silver key sought by the Lord of the Greed.,60100167,,,
64000005,The key of dimness,The golden key sought by the Lord of Oboro.,60100168,,,
64000006,The key to hope not to throw away,A mysteriously colored key that combines five keys.,60100169,,,
64000008,Dream Fragment [Transient],A small piece with a mysterious power.,60100163,,,
64000009,Dream Fragment [Regret],A small piece with a mysterious power.,60100163,,,
64000010,Dream Fragment [Frustration],A small piece with a mysterious power.,60100163,,,
64000011,Dream Fragment [Ideal],A small piece with a mysterious power.,60100163,,,
64000012,Dream Fragment [Eternity],A small piece with a mysterious power.,60100163,,,
60100463,Forbidden book Le Holban,"A very dangerous spellbook that is said to be a manuscript of ""Necronomicon"" and a manifestation.",60100199,,,
60100464,Forbidden bookmarks,A magic bookmark entrusted by Arahui. \ n It seems to have the ability to temporarily suspend the magical power of the spellbook.,60100205,,,
60100467,Torn management book page,A page that had been torn from Marcness's management book. \ n It seems that it can be read by combining it with the original management books.,60100102,,,
60100474,Avrule coat of arms,A coat of arms with the design of Avrule.,60100113,,,
60100475,Dirty sheets,Sheets that are dirty with Nanika.,60100116,,,
60100476,Awesome pliers,A plier that shows the horror that would have been used in torture in the past.,60100117,,,
60100477,Old bandage,"A bandage with a season. It's a little old, but it doesn't seem to be a problem to use.",60100101,,,
60100478,Bloody bandage,Bandages used to treat injuries. \ n It won't be reusable.,60100215,,,
60100479,Dirty Gothic Doll,A girl's Gothic doll that is elaborately made as if it were alive. \ n I feel like I feel my body temperature and heartbeat ...,60100106,,,
60100480,Empty glass bottle,A glass bottle with nothing in it. \ n I think I can put something in it.,60100206,,,
60100481,Chastity of life,A liquid obtained from a Gothic doll.,60100112,,,
60100482,Impure ash,* Yes *,60100108,,,
60100483,Branding iron,It looks like a branding iron with an evil design.,60100117,,,
60100484,Right hand of the corpse,The right hand cut from a rotten corpse.,60100217,,,
60100485,Right hand engraved with the engraving of evil spirits,A branding iron of evil spirits is stamped on the right hand cut from the decayed corpse.,60100216,,,
60100486,Sleeping dream pillow,A pillow specially made by Yumema that guarantees quick sleep and dreaming. \ n Dreams are not always good dreams!,60100118,,,
60100487,Nightmare Remnants [Pain],\ N The remnants of a dream created from a nightmare with [pain].,60100163,,,
60100488,Nightmare Remnants [Fear],\ N The remnants of a dream created from a nightmare accompanied by [fear].,60100163,,,
60100489,Nightmare Remnants [Loneliness],\ N The remnants of a dream created from a nightmare accompanied by [loneliness].,60100163,,,
60100490,Nightmare Remnants [Loss],\ N The remnants of a dream created from a nightmare with [loss].,60100163,,,
60100491,Horse statue's neck,The head of the horse statue has been removed. \ n It's heavy.,60100170,,,
60100501,Madalia's Petit Painting,A palm-sized painting depicting the profile of Madalia. \ n There are many male customers who want this.,60100114,,,
60100502,Black onyx,Black striped agate. It is a material for cameos.,60100141,,,
60100503,Special tools,A tool that looks amazing. \ n It seems that it was originally used for torture.,60100117,,,
60100504,Armor shards,"It's a good quality metal, so it can be used as a cameo decoration.",60100202,,,
60100505,Ultimate cameo,The ultimate cameo created by craftsman Rodrio with passion. \ nA sculpture with the motif of Madalia's profile is engraved.,60100119,,,
60100506,Madalia business card,An ordinary business card that Madalia gives to her customers.,60100175,,,
60100507,Madalia Gold Business Card,A nice business card that Madalia gives to regular customers.,60100218,,,
60100508,Madalia Platinum Business Card,A special business card that Madalia gives to her superiors.,60100174,,,
60100514,Blank manuscript,A blank book with the magic of creating one manuscript.,60100212,,,
60100515,Manuscript of the request,"A manuscript of the requested book. \ nSince it is a manuscript made by magic, \ nit seems that it becomes unreadable after a certain period of time has passed since it was opened.",60100213,,,
60100516,Fiery lantern,A lantern that can activate fire-type mana to light a hot fire.,60100230,,,
60100517,Atmospheric compass,A compass that can read the mana of the wind attribute and adjust the flow of the atmosphere.,60100232,,,
60100518,Earth plate,A dish that can be fixed with earth-based manna to maintain \ n magical substances.,60100233,,,
60100519,Deep sea water meter,A water meter that can circulate water-based mana and distribute it to a certain amount of \ n containers.,60100231,,,
60100520,Material Core [LI],A \ n material created by combining fire-type manna.,60100234,,,
60100521,Material Core [TO],A \ n material created by combining the mana of the wind attribute.,60100236,,,
60100522,Material Core [NI],A \ n material created by combining the mana of the earth attribute.,60100237,,,
60100523,Material Core [DAL],A \ n material created by combining mana with water attributes.,60100235,,,
60100537,Araimentia [Ao],A magical jewel whose color is determined according to the brilliance of the soul of the person who holds it. \ n It gives off a blue glow.,60100235,,,
60100538,Araimentia [Yellow],A magical jewel whose color is determined according to the brilliance of the soul of the person who holds it. \ n It has a yellow glow.,60100237,,,
60100539,Araimentia [Purple],A magical jewel whose color is determined according to the brilliance of the soul of the person who holds it. \ n It has a purple glow.,60100239,,,
60100540,Lumiere Rosier,\ N Blue rose work made by processing Araimentia.,60100240,,,
60100541,Lune Logier,\ N Yellow rose work made by processing Araimentia.,60100241,,,
60100542,Opscurite terrorism,\ N Purple rose work made by processing Araimentia.,60100242,,,
60100573,Amulet of Conquest,Amulet from the Horai continent. \ n It seems to have the effect of conquering the devil.,60100174,,,
60100574,Amulet of the Devil,Amulet from the Horai continent. \ n It seems to have the effect of guiding the devil.,60100218,,,
60100575,Luopan of the Makai,Luopan from the Horai continent. \ n You can observe the flow of the dragon vein.,60100232,,,
60100591,Slightly dirty small lens,A small lens I found in the junk. \ n It's cloudy with dirt.,60100258,,,
60100592,Large dirty lens,A large lens I found in the junk. \ n It's cloudy with dirt.,60100257,,,
60100593,Beautiful small lens,A beautiful small lens without cloudiness.,60100256,,,
60100594,Beautiful large lens,A beautiful large lens without cloudiness.,60100255,,,
60100597,Semi-circular halcia shards,White debris that gives off a mysterious glow. \ n It has the power to suppress magical power.,60100200,,,
60100598,Curved halcia debris,White debris that gives off a mysterious glow. \ n It has the power to suppress magical power.,60100200,,,
60100599,Wedge-shaped halcia shards,White debris that gives off a mysterious glow. \ n It has the power to suppress magical power.,60100200,,,
60100600,Star-shaped halcia shards,White debris that gives off a mysterious glow. \ n It has the power to suppress magical power.,60100200,,,
60100601,Fluctuation wand,A wand that can repair gods \ n It has a powerful magical power.,11300701,,,
60100602,Wisdom's eyes,A crystal ball that is \ n when it emits a blue light when it shows wisdom.,60100141,,,
60100603,Smoked silver key,Silver key. \ n It seems that you can activate the gate that exists in the depths of the darkness.,60100261,,,
60100604,False grudge key,Golden key. \ n It seems that you can activate the gate that exists in the depths of the darkness.,60100260,,,
60100609,Madalia's Petit Painting [Smile],A palm-sized painting depicting Madalia's smile. \ n There are many male customers who want this.,60100114,,,
60100610,Fire crystal,Crystal of flame. It is a material for God Cameo.,60100141,,,
60100611,Legendary tool,A tool that looks amazing. \ n I feel like I can make a masterpiece using this.,60100117,,,
60100612,Good quality iron ingot,"It's a good quality metal, so it can be used as a cameo decoration.",60100117,,,
60100613,God cameo,A godly cameo created by the craftsman Rodrio with passion. \ nA sculpture with the motif of Madalia's profile is engraved.,60100119,,,
60100614,Madalia Business Card [Genuine],An ordinary business card that Madalia gives to her customers. \ n This is the real thing.,60100175,,,
60100615,Madalia Gold Business Card [Genuine],A nice business card that Madalia gives to regular customers. \ n This is the real thing.,60100218,,,
60100616,Madalia's Platinum Business Card [Genuine],A special business card that Madalia gives to her superiors. \ n This is the real thing.,60100174,,,
60100617,Miravel business card,An ordinary business card that Miravel gives to his customers.,60100175,,,
60100618,Miravel Gold Business Card,A nice business card that Miravel gives to regular customers.,60100218,,,
60100619,Miravel Platinum Business Card,A special business card that Miravel gives to his superiors.,60100174,,,
60100620,Serafille business card,An ordinary business card that Serafille gives to his customers.,60100175,,,
60100621,Serafille Gold Business Card,A nice business card that Serafille gives to regular customers.,60100218,,,
60100622,Serafille Platinum Business Card,A special business card that Serafille gives to his superiors.,60100174,,,
60100623,A corpse eroded by madness,Deliver the corpse of a person who has exhausted at Miskatonic University Branch \ n to a monk at the Quapati Temple.,60100110,,,
60100637,Bust of spades,A bust with a spade coat of arms on the chest.,60100195,,,
60100638,Heart bust,A bust with a heart emblem on the chest.,60100193,,,
60100639,Diamond bust,A bust with a diamond coat of arms on the chest.,60100194,,,
60100640,White glass with a hero drawn on it,White glass with a pattern that symbolizes a hero.,60100264,,,
60100641,Red glass with a valet drawn on it,Red glass with a pattern that symbolizes a servant.,60100265,,,
60100642,Blue glass with the queen on it,Blue glass with a pattern that symbolizes the queen.,60100266,,,
60100643,Yellow glass with the king on it,Yellow glass with a pattern that symbolizes the king.,60100268,,,
60100644,Miskatonic Silver Key,An anecdotal key to open the gate to a series of spaces.,60100261,,,
60100645,Shrewsbury Token Ring,An item that allows the wearers to chat with each other by equipping them. \ n I borrowed it from Professor Schlusbury for contact.,70000201,,,
60100646,Light Angel Sera's Fragment 1,Fragment of a spellbook translated by Professor Schlusbury.,60100114,,,
60100647,Light Angel Sera's Chapter 2,Fragment of a spellbook translated by Professor Schlusbury.,60100114,,,
60100648,Light Angel Sera's Chapter 2 Fragment 1,Part of the fragment of the spellbook translated by Professor Schlusbury.,60100115,,,
60100649,Fragment 2 of Light Angel Sera's Chapter 2,Part of the fragment of the spellbook translated by Professor Schlusbury.,60100115,,,
60100650,Light Angel Sera's Fragment 3,Fragment of a spellbook translated by Professor Schlusbury.,60100114,,,
60100651,Fragment 1 of Fragment 3 of Light Angel Sera,Part of the fragment of the spellbook translated by Professor Schlusbury.,60100115,,,
60100652,Fragment 2 of Fragment 3 of Light Angel Sera,Part of the fragment of the spellbook translated by Professor Schlusbury.,60100115,,,
60100653,Light Angel Sera's Fragment 17,Fragment of a spellbook translated by Professor Schlusbury.,60100114,,,
60100654,Fragment 1 of Fragment 17 of Light Angel Serra,Part of the fragment of the spellbook translated by Professor Schlusbury.,60100115,,,
60100655,Fragment 2 of Fragment 17 of Light Angel Serra,Part of the fragment of the spellbook translated by Professor Schlusbury.,60100115,,,
60100656,Fragment 3 of Fragment 17 of Light Angel Serra,Part of the fragment of the spellbook translated by Professor Schlusbury.,60100115,,,
60100677,Bad Laurel Membership Card,Our new century grave robbery \ n Bad Laurel membership card! \ n Those who are not wearing it are considered to be outsiders.,60100218,,,
60100678,Circulating tablet,A stone plate engraved with the steps required to operate a ritual tool called a ring of circulation.,60100114,,,
60100679,First material [IKEA],One of the five rituals called the Circulatory Ring. \ n The old letters are engraved with [IKEA].,60100238,,,
60100680,Second material [Alf],One of the five rituals called the Circulatory Ring. \ n It is engraved with [Alf] in old letters.,60100237,,,
60100681,Third material [Dahl],One of the five rituals called the Circulatory Ring. \ n It is engraved with [Dahl] in old letters.,60100235,,,
60100682,Fourth material [Fur],One of the five rituals called the Circulatory Ring. \ n It is engraved with [Fur] in old letters.,60100234,,,
60100683,Fifth material [til],One of the five rituals called the Circulatory Ring. \ n The old letters are engraved with [Till].,60100236,,,
60100684,Fragment of color material,\ N Fragment of ancient rituals showing the element of Lin.,60100185,,,
60100685,Mutant Material Fragment,\ N Fragment of ancient rituals showing the element of Lin.,60100185,,,
60100686,Material [Lin],An ancient ritual item that shows the elements of Lin.,60100184,,,
60100687,Fragment of disk stone [light and darkness],A piece of disk-shaped tablet. \ n Engraved about the elements of light and darkness.,60100291,,,
60100688,Fragment of disk stone [Open space water fire breeze],"A piece of disk-shaped tablet. \ n It is engraved about the elements of open space, water, fire and wind.",60100291,,,
60100689,Fragment of a disk stone [color variation],A piece of disk-shaped tablet. \ n It is engraved about the elements of color and mutation.,60100291,,,
60100690,Genesis disk stone,A disk-shaped tablet with \ n engraved elements that are said to have created the world.,60100288,,,
60100697,Natsairoon Token Ring,An item that allows the wearers to chat with each other by equipping them. \ n I borrowed it from Michelle for contact.,70000201,,,
60100752,Mobile dolly,The finished product of the dolly. \ n It seems that it can be operated on the rails laid in the tunnel.,60100332,,,
60100754,Wheels for trucks,Wheel part of minecart. \ n It looks like it can be combined with something.,60100334,,,
60100783,Discolored silver bowl,"It's a silver bowl that looks very expensive, but it hasn't been maintained for a long time and has been discolored.",60100358,,,
60100784,A vessel filled with live blood,The discolored silver bowl is filled with your living blood.,60100353,,,
60100785,Bone spider blood risotto,"Risotto made by boiling bones, spider silk and grains with live blood. I don't think I can eat it properly.",60100357,,,
60100786,Purple coat of arms key,A key with a purple coat of arms.,60100350,,,
60100787,Blue coat of arms key,A key with a blue coat of arms.,60100347,,,
60100788,Green coat of arms key,A key with a green coat of arms.,60100348,,,
60100789,Yellow coat of arms key,A key with a yellow coat of arms.,60100349,,,
60100790,White coat of arms key,A key with a white coat of arms.,60100345,,,
60100791,Black coat of arms key,A key with a black coat of arms.,60100344,,,
60100792,Red coat of arms key,A key with a red coat of arms.,60100346,,,
60100793,Human skin parchment,Parchment made of human skin. \ n It seems that it was used in the ritual of evil spirits.,60100102,,,
60100794,Bersch Token Ring,An item that allows the wearers to chat with each other by equipping them. \ n I borrowed it from Bersch for contact.,70000201,,,
60100797,Copperwork key,"A key made of copper work. \ n The thing itself seems to be sold at souvenir shops around here, but \ n it seems that some special magic is given.",60100104,,,
60100798,Silverwork key,"A key made of silver work. \ n The thing itself seems to be sold at souvenir shops around here, but \ n it seems that some special magic is given.",60100261,,,
60100802,Dragon amber,An expensive jewel. \ n It seems that some special magic has been added.,60100298,,,
60100803,Bloodstone,An expensive jewel. \ n It seems that some special magic has been added.,60100294,,,
60100804,Lander turquoise,An expensive jewel. \ n It seems that some special magic has been added.,60100340,,,
60100805,Necronomicon,"A spellbook with a crazy story. \ n However, as a spellbook, it is a fake book that has no power \ n. \ n It seems that some special magic has been added.",60100212,,,
60100806,Wandering eyes,A jewel with an ominous curse that attracts monsters. \ nIt would be preferable to have a strict sealing process in the appropriate place.,60100141,,,
60100817,Abyss crystal ball,A crystal ball with a jet-black hue. \ n It seems that it is used to restrict traffic to the depths of the labyrinth in the abyss.,60100141,,,
60100825,Abyss torch,A torch that lights a mysterious flame. \ n It looks like you can light a flammable object.,60100384,,,
60100827,Crystal ball of light,It looks like a crystal ball with a white glow.,60100103,,,
60100828,Crystal ball of darkness,It looks like a crystal ball with a black glow.,60100141,,,
60100829,Fire crystal ball,It looks like a crystal ball with a red glow.,60100145,,,
60100830,Water crystal ball,It looks like a crystal ball with a blue glow.,60100142,,,
60100831,Crystal ball of the earth,It looks like a crystal ball with a yellow glow.,60100107,,,
60100832,Wind crystal ball,It looks like a crystal ball with a green glow.,60100227,,,
60100833,Empty crystal ball,It looks like a crystal ball with a mysterious glow.,60100184,,,
60100839,Wedge-sealed crystal ball,A crystal ball engraved with the pattern of a water bottle. \ nIt is said that one of the wedges that there are 10 is sealed.,60100142,,,
60105001,Broken gear and a single flower,Immortal Three Giant Clold \ n Sleep here.,60100390,,,
60105002,Ashes of aristocrats at night,Immortal Three Giant Nointeta \ n Sleep here.,60100391,,,
60105003,Smerch pendant,Immortal Three Giant Smerch \ n Sleep here.,60100392,,,
60105004,Diment Knight Medal,A medal awarded to the Knights of the Kingdom of Dimento. \ n Specially made for you.,60100393,,,
60105005,"Third wedge ""inner contradiction""","A water bottle containing water that will never die. \ n It is said that if you drink this water, you will get immortality ...",60100394,,,
